,address,bedrooms,bathrooms,price,squareFootage,floorplan,complex,covered_parking,balcony,washer_dryer,loft,hardwood_floors,office,open_concept,high_ceiling,pets,priceSquareFoot,latitude,longitude,SHAPE,commute_time,grocery_count,bar_count,gas_count,resturant_count,hospital_count,park_count,scores,scaled_scores
0,"5600 Columbia Pike, Falls Church, VA 22041",1,1.0,1837,962,Inspire,Mission Lofts,1.0,0,1,0,1,0,1,1,1,1.9095634095634095,38.8539924,-77.1230559,"{'spatialReference': {'wkid': 4326}, 'x': -77.1230559, 'y': 38.8539924}",19,9,11,14,15,0,14,-1310.5,3.909225814574479
1,"5600 Columbia Pike, Falls Church, VA 22041",2,1.0,2378,1083,Objective,Mission Lofts,1.0,0,1,0,1,0,1,1,1,2.195752539242844,38.8539924,-77.1230559,"{'spatialReference': {'wkid': 4326}, 'x': -77.1230559, 'y': 38.8539924}",19,9,11,14,15,0,14,-1939.5,4.409055191429078
2,"5600 Columbia Pike, Falls Church, VA 22041",2,2.5,2387,1092,Purpose,Mission Lofts,1.0,0,1,0,1,0,1,1,1,2.1858974358974357,38.8539924,-77.1230559,"{'spatialReference': {'wkid': 4326}, 'x': -77.1230559, 'y': 38.8539924}",19,9,11,14,15,0,14,-1938.0,5.418202075702075
3,"5600 Columbia Pike, Falls Church, VA 22041",1,1.0,1803,720,Aspire,Mission Lofts,1.0,1,1,0,1,0,1,1,1,2.504166666666667,38.8539924,-77.1230559,"{'spatialReference': {'wkid': 4326}, 'x': -77.1230559, 'y': 38.8539924}",19,9,11,14,15,0,14,-1622.5,3.3546709184320456
4,"4501 Ford Ave, Alexandria, VA 22302",1,1.0,1724,632,6C,E-Lofts,1.0,0,1,0,1,0,1,1,1,2.7278481012658227,38.8371936,-77.10527739999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.10527739999999, 'y': 38.8371936}",16,8,10,11,16,2,13,-1631.5,1.7057124922555187
5,"4501 Ford Ave, Alexandria, VA 22302",1,1.0,1730,697,7B,E-Lofts,1.0,0,1,0,1,0,1,1,1,2.4820659971305594,38.8371936,-77.10527739999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.10527739999999, 'y': 38.8371936}",16,8,10,11,16,2,13,-1543.0,1.8593104151041833
6,"4501 Ford Ave, Alexandria, VA 22302",1,1.0,2064,995,10C,E-Lofts,1.0,0,1,0,1,0,1,1,1,2.0743718592964826,38.8371936,-77.10527739999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.10527739999999, 'y': 38.8371936}",16,8,10,11,16,2,13,-1597.0,2.1087614536798505
7,"4501 Ford Ave, Alexandria, VA 22302",1,1.0,2274,1062,10E,E-Lofts,1.0,0,1,0,1,0,1,1,1,2.1412429378531073,38.8371936,-77.10527739999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.10527739999999, 'y': 38.8371936}",16,8,10,11,16,2,13,-1811.5,1.964688753383115
8,"6802 Junction Blvd, Springfield, VA 22150",1,1.0,1600,632,A1,The Residences at Springfield Station,1.0,1,1,0,0,0,0,1,1,2.5316455696202533,38.7711021,-77.1743309,"{'spatialReference': {'wkid': 4326}, 'x': -77.1743309, 'y': 38.7711021}",8,7,10,4,18,1,4,-1438.5,1.496068484762847
9,"6802 Junction Blvd, Springfield, VA 22150",1,1.0,1510,663,A2,The Residences at Springfield Station,1.0,1,1,0,0,0,0,1,1,2.277526395173454,38.7711021,-77.1743309,"{'spatialReference': {'wkid': 4326}, 'x': -77.1743309, 'y': 38.7711021}",8,7,10,4,18,1,4,-1257.0,1.7070996420328761
10,"6802 Junction Blvd, Springfield, VA 22150",1,1.0,1630,743,A6,The Residences at Springfield Station,1.0,1,1,0,0,0,0,1,1,2.1938088829071334,38.7711021,-77.1743309,"{'spatialReference': {'wkid': 4326}, 'x': -77.1743309, 'y': 38.7711021}",8,7,10,4,18,1,4,-1317.0,1.7290580990061701
11,"6802 Junction Blvd, Springfield, VA 22150",1,1.0,1685,800,A7,The Residences at Springfield Station,1.0,1,1,0,0,0,0,1,1,2.10625,38.7711021,-77.1743309,"{'spatialReference': {'wkid': 4326}, 'x': -77.1743309, 'y': 38.7711021}",8,7,10,4,18,1,4,-1314.0,1.7899557251189298
12,"6802 Junction Blvd, Springfield, VA 22150",1,1.0,1750,869,A10L,The Residences at Springfield Station,1.0,1,1,1,0,0,0,1,1,2.013808975834292,38.7711021,-77.1743309,"{'spatialReference': {'wkid': 4326}, 'x': -77.1743309, 'y': 38.7711021}",8,7,10,4,18,1,4,-1308.0,1.866016555979464
13,"6802 Junction Blvd, Springfield, VA 22150",2,2.0,1960,1080,B2,The Residences at Springfield Station,1.0,1,1,0,0,0,0,1,1,1.8148148148148149,38.7711021,-77.1743309,"{'spatialReference': {'wkid': 4326}, 'x': -77.1743309, 'y': 38.7711021}",8,7,10,4,18,1,4,-1304.5,3.7486105223493937
14,"6802 Junction Blvd, Springfield, VA 22150",2,2.0,1810,1043,B2,The Residences at Springfield Station,1.0,1,1,0,0,0,0,1,1,1.735378715244487,38.7711021,-77.1743309,"{'spatialReference': {'wkid': 4326}, 'x': -77.1743309, 'y': 38.7711021}",8,7,10,4,18,1,4,-1135.0,3.878662451132777
15,"6200 N Kings Hwy, Alexandria, VA 22303",1,1.0,1756,699,B2,The Shelby,1.0,0,1,0,1,0,1,1,1,2.512160228898426,38.7835431,-77.0800714,"{'spatialReference': {'wkid': 4326}, 'x': -77.0800714, 'y': 38.7835431}",21,5,4,7,11,0,7,-1624.0,0.28429701851066813
